Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
30-06-2022,3,70000,3354,Ground out of 16,Carpet Area,Talagatta Pura,Bangalore,Furnished,Bachelors/Family,3,Contact Agent
23-06-2022,2,10500,800,3 out of 4,Super Area,Nagappa Reddy layout-Dooravani Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-07-2022,2,13000,1000,Ground out of 4,Super Area,"Kattigenahalli, Bellary Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,2,17000,1040,4 out of 4,Super Area,C V Raman Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,3,21000,1403,1 out of 4,Super Area,"Chikkalasandra, Bangalore",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
04-06-2022,2,10000,600,3 out of 4,Super Area,Talaghattapura,Bangalore,Furnished,Bachelors/Family,1,Contact Owner
09-07-2022,4,61500,2608,1 out of 4,Carpet Area,Malleshwaram,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
11-05-2022,2,13000,850,1 out of 3,Carpet Area,"Ramaiah Layout, Kacharakanahalli",Bangalore,Semi-Furnished,Family,2,Contact Agent
04-06-2022,1,7500,400,1 out of 2,Super Area,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
04-06-2022,2,17000,1000,3 out of 4,Super Area,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-06-2022,3,25000,1350,5 out of 14,Carpet Area,Kengeri Main Road,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner
10-05-2022,2,10500,800,1 out of 2,Carpet Area,Ramamurthy Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-05-2022,1,8000,350,3 out of 3,Super Area,Thanisandra,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
10-05-2022,1,9500,900,Ground out of 2,Super Area,J P Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
06-07-2022,3,50000,2000,1 out of 2,Carpet Area,Bannerghatta Main Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
09-05-2022,2,13000,700,1 out of 4,Super Area,"Vinayakanagar, Hebbal",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
20-05-2022,1,13500,600,1 out of 4,Super Area,venkatapuram,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
16-06-2022,2,13000,700,Ground out of 1,Carpet Area,"Vv Nagar, Bikasipura",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
02-06-2022,1,15000,600,2 out of 4,Super Area,C V Raman Nagar,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
10-05-2022,2,15000,1400,Ground out of 1,Super Area,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
10-05-2022,1,7000,600,Ground out of 3,Super Area,Kacharakanahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
10-05-2022,2,25000,770,8 out of 32,Super Area,Tumkur Road,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
